timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730502105720,706,HTTP Request of Login Page,200,OK,Test_user 1-35,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),35237,474,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,142,0,76
1730502105720,142,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-35,,true,,291,237,2,2,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,142,0,76
1730502105863,563,HTTP Request of Login Page-1,200,OK,Test_user 1-35,text,true,,34946,237,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,487,0,160
1730502106131,538,HTTP Request of Login Page,200,OK,Test_user 1-34,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),35237,474,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,127,0,70
1730502106131,127,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-34,,true,,291,237,2,2,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,127,0,70
1730502106258,411,HTTP Request of Login Page-1,200,OK,Test_user 1-34,text,true,,34946,237,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,329,0,0
1730502106433,637,HTTP Request of Login Page,200,OK,Test_user 1-35,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),35237,474,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,136,0,72
1730502106433,136,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-35,,true,,291,237,2,2,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,136,0,72
1730502106570,500,HTTP Request of Login Page-1,200,OK,Test_user 1-35,text,true,,34946,237,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,410,0,0
1730502106721,836,HTTP Request of Login Page,200,OK,Test_user 1-36,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),35237,474,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,129,0,72
1730502106721,129,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-36,,true,,291,237,2,2,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,129,0,72
1730502106851,706,HTTP Request of Login Page-1,200,OK,Test_user 1-36,text,true,,34946,237,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,619,0,201
1730502107074,623,HTTP Request of Login Page,200,OK,Test_user 1-35,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),35237,474,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,127,0,70
1730502107074,127,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-35,,true,,291,237,2,2,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,127,0,70
1730502107201,496,HTTP Request of Login Page-1,200,OK,Test_user 1-35,text,true,,34946,237,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,425,0,0
1730502107564,690,HTTP Request of Login Page,200,OK,Test_user 1-36,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),35237,474,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,133,0,69
1730502107564,133,HTTP Request of Login Page-0,301,Moved Permanently,Test_user 1-36,,true,,291,237,2,2,http://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,133,0,69
1730502107698,556,HTTP Request of Login Page-1,200,OK,Test_user 1-36,text,true,,34946,237,2,2,https://en.wikipedia.org/w/index.php?returnto=Login&title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,465,0,0
